ID,Program Type,Address,Address 2,City,State,Zip,Age Range,Meeting Day,Meeting Time,Region,Registration Status,Accepting Volunteers
101,Camp GiG,Blue Ridge Cyclery at Libbie Mill ,5001 Libbie Mill E Blvd,Richmond,VA,23230,11+,6/9/2025-6/13/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
102,Camp GiG,Blue Ridge Cyclery at Libbie Mill ,5001 Libbie Mill E Blvd,Richmond,VA,23230,11+,6/16/2025-6/20/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
103,Camp GiG,Blue Ridge Cyclery at Libbie Mill ,5001 Libbie Mill E Blvd,Richmond,VA,23230,11+,7/28/2025-8/1/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
104,Camp GiG,Blue Ridge Cyclery at Libbie Mill ,5001 Libbie Mill E Blvd,Richmond,VA,23230,11+,8/4/2025-8/8/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
105,Camp GiG,Blue Ridge Cyclery at Libbie Mill ,5001 Libbie Mill E Blvd,Richmond,VA,23230,11+,8/11/2025-8/15/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
106,Camp GiG,JH Brown Elementary School ,3600 Stanwood St,Philadelphia,PA,19136,8-dic,7/7/2025-7/10/2025,10:30-3pm,Greater Philadelphia,http://girlsingear.org/pennsylvania,http://girlsingear.org/coach
107,Camp GiG,JH Brown Elementary School ,3600 Stanwood St,Philadelphia,PA,19136,8-dic,7/14/2025-7/17/2025,10:30-3pm,Greater Philadelphia,http://girlsingear.org/pennsylvania,http://girlsingear.org/coach
108,Camp GiG,JH Brown Elementary School ,3600 Stanwood St,Philadelphia,PA,19136,8-dic,7/21/2025-7/24/2025,10:30-3pm,Greater Philadelphia,http://girlsingear.org/pennsylvania,http://girlsingear.org/coach
109,Camp GiG,Patrick Henry School of Science & Arts ,3411 Semmes Ave,Richmond,VA,23225,11+,6/23/2025-6/27/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
110,Camp GiG,Patrick Henry School of Science & Arts ,3411 Semmes Ave,Richmond,VA,23225,11+,6/30/2025-7/3/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
111,Camp GiG,Patrick Henry School of Science & Arts ,3411 Semmes Ave,Richmond,VA,23225,11+,7/7/2025-7/11/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
112,Camp GiG,Patrick Henry School of Science & Arts ,3411 Semmes Ave,Richmond,VA,23225,11+,7/14/2025-7/18/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
113,Camp GiG,Patrick Henry School of Science & Arts ,3411 Semmes Ave,Richmond,VA,23225,11+,7/21/2025-7/25/2025,9-1pm,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
114,Camp GiG,Princeton Charter School,100 Bunn Dr,Princeton,NJ,8540,8-dic,7/21/2025-7/26/2025,8:30-11:30am,Raritan New Jersey,http://girlsingear.org/newjersey,http://girlsingear.org/coach
115,Camp GiG,Princeton Charter School,100 Bunn Dr,Princeton,NJ,8540,8-dic,August TBD,8:30-11:30am,Raritan New Jersey,http://girlsingear.org/newjersey,http://girlsingear.org/coach
116,Glide-to-Ride,East Cary Magnet Middle School ,1111 SE Maynard Rd,Cary,NC,27511,all ages,3/22/2025,2-4pm,Greater Raleigh,http://girlsingear.org/northcarolina,http://girlsingear.org/coach
117,Glide-to-Ride,Eyre Park ,232 W 9th St,Chester,PA,19013,all ages,3/15/2025,12:45-2:45pm,Greater Philadelphia,http://girlsingear.org/pennsylvania,http://girlsingear.org/coach
118,Glide-to-Ride,George Inness School ,141 Park St,Montclair,NJ,7042,all ages,5/3/2025,1-3pm,Metro New Jersey,http://girlsingear.org/northcarolina,http://girlsingear.org/coach
119,Glide-to-Ride,Mt. Calvary Baptist Church,4401 Hobbs Ln,Richmond,VA,23231,all ages,mar-15,10-12pm ,Greater Richmond,http://girlsingear.org/virginia,http://girlsingear.org/coach
